investment_id,nep_measure,name,operator,bus0,bus1,v_nom,s_nom,s_nom_source,x,r,length,length_source,num_parallel,cod_year,commitment,match_confidence,source
7184,,HSL Klostermansfeld - Aschersleben; Neubau HS-Leitung,MITNETZ Strom,39285,27123,110,150.0,standard_per_circuit,14.44,2.09,38.0,stated,1,2030,firm,0.75,VNB Netzausbauplan (NAP 2024)
7185,,"HSL Crossen-Herlasgrün BA1, BA2 und BA3",MITNETZ Strom,11866,39361,110,150.0,standard_per_circuit,9.5,1.375,25.0,stated,1,2026,safe,0.8,VNB Netzausbauplan (NAP 2024)
7187,,HSL Falkenstein-Droßdorf; Neubau,MITNETZ Strom,38115,19991,110,150.0,standard_per_circuit,5.32,0.77,14.0,stated,1,2027,firm,0.9,VNB Netzausbauplan (NAP 2024)
7188,,HSL Herlasgrün-Markneukirchen (Teilabschnitt),MITNETZ Strom,39361,38247,110,150.0,standard_per_circuit,5.32,0.77,14.0,stated,1,2026,safe,0.9,VNB Netzausbauplan (NAP 2024)
7189,,"HSL Röhrsdorf - Burgstädt, Abz.Oberelsdorf",MITNETZ Strom,39247,38222,110,150.0,standard_per_circuit,6.46,0.935,17.0,stated,1,2026,firm,0.9,VNB Netzausbauplan (NAP 2024)
7190,,HSL-Eula-Oberelsdorf,MITNETZ Strom,39267,38204,110,150.0,standard_per_circuit,10.64,1.54,28.0,stated,1,2026,safe,0.9,VNB Netzausbauplan (NAP 2024)
7193,,HSL Marke - Bitterfeld/M. - Piesteritz/Nord,MITNETZ Strom,35116,37801,110,150.0,standard_per_circuit,4.18,0.605,11.0,stated,1,2026,firm,0.9,VNB Netzausbauplan (NAP 2024)
7201,,HSL Neuendorf-Guben; Erhöhung Stromtragfähigkeit,MITNETZ Strom,38155,16208,110,150.0,standard_per_circuit,4.18,0.605,11.0,stated,1,2030,firm,0.7,VNB Netzausbauplan (NAP 2024)
7206,,HSL Halle/West-Klostermansfeld; Erhöhung Stromtragfähigkeit,MITNETZ Strom,38312,39285,110,150.0,standard_per_circuit,1.52,0.22,4.0,stated,1,2026,firm,0.75,VNB Netzausbauplan (NAP 2024)
7207,,HSL Weißenfels-Reinsdorf,MITNETZ Strom,19740,38157,110,150.0,standard_per_circuit,7.98,1.155,21.0,stated,1,2026,firm,0.75,VNB Netzausbauplan (NAP 2024)
7208,,HSL Marke - Bitterfeld/Mitte; Erhöhung Stromtragfähigkeit,MITNETZ Strom,35116,37155,110,150.0,standard_per_circuit,3.8,0.55,10.0,stated,1,2029,firm,0.75,VNB Netzausbauplan (NAP 2024)
7209,,HSL Bernburg/Nord-Marke,MITNETZ Strom,37522,35116,110,150.0,standard_per_circuit,0.38,0.055,1.0,stated,1,2026,firm,0.9,VNB Netzausbauplan (NAP 2024)
